Edad,Sexo,Cpostal,Estudios,Ecivil
41-50,Hombre,28250,Formación profesional/Bachillerato,Casado
20-30,Mujer,28015,Doctorado/Máster,Casado
41-50,Mujer,28050,Universitarios,Casado
20-30,Hombre,28015,Universitarios,Casado
51-65,Hombre,15008,Universitarios,Casado
41-50,Mujer,15001,Universitarios,Divorciado
31-40,Mujer,15002,Doctorado/Máster,Casado
41-50,Mujer,15173,Doctorado/Máster,Casado
41-50,Hombre,15003,Doctorado/Máster,Casado
31-40,Mujer,15001,Universitarios,Casado
41-50,Mujer,15004,Doctorado/Máster,Casado
41-50,Mujer,15660,Universitarios,Divorciado
41-50,Hombre,15011,Doctorado/Máster,Soltero
41-50,Mujer,15620,Universitarios,Casado
41-50,Mujer,15005,Doctorado/Máster,Casado
20-30,Mujer,15142,Formación profesional/Bachillerato,Soltero
41-50,Mujer,15176,Universitarios,Casado
20-30,Mujer,33450,Universitarios,Soltero
51-65,Mujer,15011,Formación profesional/Bachillerato,Casado
51-65,Mujer,15176,Universitarios,Casado
31-40,Hombre,08019,Formación profesional/Bachillerato,Casado
41-50,Mujer,15003,Doctorado/Máster,Casado
41-50,Mujer,15174,Universitarios,Casado
20-30,Hombre,48006,Universitarios,Soltero
20-30,Mujer,4050,Universitarios,Soltero
+65,Hombre,15174,Doctorado/Máster,Viudo
31-40,Hombre,15008,Formación profesional/Bachillerato,Casado
31-40,Mujer,15009,Doctorado/Máster,Soltero
41-50,Mujer,15007,Doctorado/Máster,Casado
31-40,Hombre,15679,Doctorado/Máster,Casado
51-65,Hombre,15176,Formación profesional/Bachillerato,Casado
41-50,Mujer,15008,Formación profesional/Bachillerato,Casado
41-50,Mujer,15176,Doctorado/Máster,Casado
41-50,Mujer,15004,Doctorado/Máster,Casado
41-50,Mujer,15003,Universitarios,Casado
51-65,Mujer,15005,Formación profesional/Bachillerato,Casado
51-65,Hombre,15005,Universitarios,Casado
41-50,Mujer,15620,Universitarios,Casado
41-50,Mujer,15008,Universitarios,Soltero
41-50,Mujer,15660,Universitarios,Casado
41-50,Mujer,15004,Universitarios,Casado
41-50,Mujer,15005,Universitarios,Casado
41-50,Mujer,15177,Universitarios,Casado
51-65,Mujer,41010,Doctorado/Máster,Casado
41-50,Mujer,15005,Universitarios,Casado
31-40,Mujer,15010,Universitarios,Casado
41-50,Hombre,15005,Universitarios,Casado
20-30,Mujer,41010,Universitarios,Soltero
41-50,Mujer,15005,Universitarios,Casado
